source,target,url
"Alloys of metalloids with Cu, Ag, Au",Koutekite,http://www.mindat.org/min-2265.html
"Alloys of metalloids with Cu, Ag, Au",Novakite,http://www.mindat.org/min-2938.html
"Alloys of metalloids with Cu, Ag, Au",Cuprostibite,http://www.mindat.org/min-1193.html
"Alloys of metalloids with Cu, Ag, Au",Kutinaite,http://www.mindat.org/min-2298.html
"Alloys of metalloids with Cu, Ag, Au",Allargentum,http://www.mindat.org/min-128.html
"Alloys of metalloids with Cu, Ag, Au",Dyscrasite,http://www.mindat.org/min-1342.html
"Alloys of metalloids with Cu, Ag, Au",Maldonite,http://www.mindat.org/min-2553.html
"Alloys of metalloids with Cu, Ag, Au",Stistaite,http://www.mindat.org/min-3791.html
Alloys,Ni-metalloid alloys,http://www.mindat.org/strunz.php?a=2&b=A&c=B
Ni-metalloid alloys,Orcelite,http://www.mindat.org/min-3012.html
Ni-metalloid alloys,Maucherite,http://www.mindat.org/min-2599.html
Alloys,Alloys of metalloids with PGE,http://www.mindat.org/strunz.php?a=2&b=A&c=C
Alloys of metalloids with PGE,Atheneite,http://www.mindat.org/min-409.html
Alloys of metalloids with PGE,Vincentite,http://www.mindat.org/min-4184.html
Alloys of metalloids with PGE,Arsenopalladinite,http://www.mindat.org/min-303.html
Alloys of metalloids with PGE,Mertieite-II,http://www.mindat.org/min-2655.html
Alloys of metalloids with PGE,Stillwaterite,http://www.mindat.org/min-3787.html
Alloys of metalloids with PGE,Isomertieite,http://www.mindat.org/min-2055.html
Alloys of metalloids with PGE,Mertieite-I,http://www.mindat.org/min-2654.html
Alloys of metalloids with PGE,Miessiite,http://www.mindat.org/min-29258.html
Alloys of metalloids with PGE,Palarstanide,http://www.mindat.org/min-3064.html
Alloys of metalloids with PGE,Stibiopalladinite,http://www.mindat.org/min-3758.html
Alloys of metalloids with PGE,Menshikovite,http://www.mindat.org/min-26401.html
Alloys of metalloids with PGE,Majakite,http://www.mindat.org/min-2545.html
Alloys of metalloids with PGE,Palladoarsenide,http://www.mindat.org/min-3068.html
Alloys of metalloids with PGE,Palladobismutharsenide,http://www.mindat.org/min-3069.html
Alloys of metalloids with PGE,Palladodymite,http://www.mindat.org/min-7214.html
Alloys of metalloids with PGE,Rhodarsenide,http://www.mindat.org/min-7270.html
