source,target,url,,
Tektovanadates,Bannermanite,http://www.mindat.org/min-508.html,,
"V[5,6] Vanadates",Unclassified V oxides,http://www.mindat.org/strunz.php?a=4&b=H&c=G,,
Unclassified V oxides,Fervanite,http://www.mindat.org/min-1541.html,,
Unclassified V oxides,Huemulite,http://www.mindat.org/min-1941.html,,
Unclassified V oxides,Vanalite,http://www.mindat.org/min-4143.html,,
Unclassified V oxides,Simplotite,http://www.mindat.org/min-3669.html,,
Unclassified V oxides,Vanoxite,http://www.mindat.org/min-4149.html,,
Unclassified V oxides,Navajoite,http://www.mindat.org/min-2867.html,,
Unclassified V oxides,Delrioite,http://www.mindat.org/min-1255.html,,
Unclassified V oxides,Metadelrioite,http://www.mindat.org/min-2671.html,,
Unclassified V oxides,Barnesite,http://www.mindat.org/min-533.html,,
Unclassified V oxides,Hendersonite,http://www.mindat.org/min-1863.html,,
Unclassified V oxides,Grantsite,http://www.mindat.org/min-1739.html,,
Unclassified V oxides,Lenoblite,http://www.mindat.org/min-2376.html,,
Unclassified V oxides,Satpaevite,http://www.mindat.org/min-3542.html,,
